wine_image,name,year,price,bodyPercent,Tanning,Acidic,compareFoods,rating,about_wine,Winery,Type,NewBodyPercent,NewTanning,NewAcidic,Grape_Type,Alcohol,Allergy
https://images.vivino.com/thumbs/cSHAXbDHTvysN7LNLnssZg_pb_x600.png,"Château Brane-Cantenac
Margaux (Grand Cru Classé) 2016",2016,$129.95,60.7749%;,62.7071%;,70.6552%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Brane-Cantenac'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]", Château Brane-Cantenac,red,60.7749,62.7071,70.6552,"[' 100% Cabernet Sauvignon', ' ']", 13%,"["" 'Contains sulfites']"", ' ']"
https://images.vivino.com/thumbs/-VCSqTjKRqSTHfQDPvG3PA_pb_x600.png,"Château Pichon Baron
Pauillac (Grand Cru Classé) 2020",2020,$198.65,71.9409%;,72.9014%;,72.1823%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pichon Baron'], ['Grapes', '76% Cabernet Sauvignon, 24% Merlot'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'A wine of great personality with fresh red-fruit and blackberry scents. It is quick to express itself on the palate, rolling out its assertive, powerful character and rich flesh. The finish is very long-lasting, with dense, precise tannins. A finely-balanced wine of substance with firm structure and body.']]", Château Pichon Baron,red,71.9409,72.9014,72.1823,"[' 76% Cabernet Sauvignon', ' 24% Merlot', ' ']", 13%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/HFkmMqnATKm3WobR0v4-Og_pb_x600.png,"Château Paran Justice
Saint-Émilion Grand Cru 2019",2019,$30,69.097%;,56.2515%;,52.2052%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Paran Justice'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Bright ruby color, the nose is delicate red fruits and spices in a subtly woody atmosphere. The palate is supple and fresh, accompanied by round tannins. Very good aging potential.']]", Château Paran Justice,red,69.097,56.2515,52.2052,"[' Merlot', ' Cabernet Sauvignon', ' Cabernet Franc', ' ']", 14%,"["" 'Contains sulfites']"", ' ']"
https://images.vivino.com/thumbs/O4e2DlxNTieRru7u1ymtVw_pb_x600.png,"Domaine de Chevalier
Pessac-Léognan (Grand Cru Classé de Graves) 2015",2015,$114.95,71.3108%;,74.1572%;,74.0983%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Domaine de Chevalier'], ['Grapes', 'Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot'], ['France', 'Bordeaux', 'Graves', 'Pessac-Léognan'], ['Wine style', 'Bordeaux Pessac-Léognan'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Domaine de Chevalier,red,71.3108,74.1572,74.0983,"[' Cabernet Sauvignon', ' Cabernet Franc', ' Merlot', ' Petit Verdot', ' ']", 13.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']]""]"
https://images.vivino.com/thumbs/9zhiQv6cR-SfUufc9_CK6w_pb_x600.png,"Château Talbot
Saint-Julien (Grand Cru Classé) 2015",2015,$98.33,62.3914%;,61.9731%;,71.0571%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Talbot'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Château Talbot,red,62.3914,61.9731,71.0571,"[' 100% Cabernet Sauvignon', ' ']", 13.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']]""]"
https://images.vivino.com/thumbs/OKW47AisSp23ma0nx_4Kdg_pb_x600.png,"Château Rauzan-Ségla
Ségla Margaux 2015",2015,$84.94,64.373%;,60.9386%;,69.4768%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Rauzan-Ségla'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Violets, blackberry, cherry and cedar can be found in the nose and taste of the younger wines. As the wine ages, cassis and spicy overtones appear.']]", Château Rauzan-Ségla,red,64.373,60.9386,69.4768,"[' 100% Cabernet Sauvignon', ' ']", 14.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/A5URPSHQSEm3R91WIgvI0Q_pb_x600.png,"Château Léoville Poyferré
Saint-Julien (Grand Cru Classé) 2019",2019,$164.95,63.6262%;,65.3316%;,72.8904%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Léoville Poyferré'], ['Grapes', '67% Cabernet Sauvignon, 27% Merlot, 3% Cabernet Franc, 3% Petit Verdot'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Château Léoville Poyferré,red,63.6262,65.3316,72.8904,"[' 67% Cabernet Sauvignon', ' 27% Merlot', ' 3% Cabernet Franc', ' 3% Petit Verdot', ' ']", 13%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/CakMPDnYSnuZ6L0fn88EWQ_pb_x600.png,"Château Léoville Barton
Saint-Julien (Grand Cru Classé) 2006",2006,$249.99,62.7463%;,65.2819%;,72.8286%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Léoville Barton'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'This wine has an opaque dark red violet colour. With lovely herbal, lavender and blackberry notes on the nose. Tart berry, blackberry, black fruit palate with depth and sweet tannins.']]", Château Léoville Barton,red,62.7463,65.2819,72.8286,"[' Merlot', ' Cabernet Sauvignon', ' Cabernet Franc', ' ']", 13.5%,"["" 'Contains sulfites']"", ' ']"
https://images.vivino.com/thumbs/Uvv7nR6ZQ5-yGecoA6XFWA_pb_x600.png,"Clos du Marquis
Saint-Julien 2015",2015,$108.33,63.1521%;,63.226%;,71.2872%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Clos du Marquis'], ['Grapes', '85% Cabernet Sauvignon, 9% Cabernet Franc, 6% Merlot'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Clos du Marquis,red,63.1521,63.226,71.2872,"[' 85% Cabernet Sauvignon', ' 9% Cabernet Franc', ' 6% Merlot', ' ']", 13%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/Gb2ViEV1Sy6_7YsmFM9iSw_pb_x600.png,"Château Rauzan-Ségla
Margaux (Grand Cru Classé) 2016",2016,$159.95,60.6472%;,64.3779%;,71.9256%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Rauzan-Ségla'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Candied confectionary nose along with some Margaux perfume and flowers. Palate is nicely fresh. Sweet and modern, with rich berry flavours, balanced and nicely proportioned until the finish.']]", Château Rauzan-Ségla,red,60.6472,64.3779,71.9256,"[' 100% Cabernet Sauvignon', ' ']", 13.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/0xTruCORQbG7Jt2_0rCicA_pb_x600.png,"Château Le Gay
Pomerol 2018",2018,$169.99,70.0451%;,53.8125%;,52.1931%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Le Gay'], ['Grapes', 'Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Château Le Gay,red,70.0451,53.8125,52.1931,"[' Cabernet Franc', ' Merlot', ' ']", 14.5%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']]""]"
https://images.vivino.com/thumbs/Pof15E7-TdygYduO6SSZlA_pb_x600.png,"Château Canon-La-Gaffelière
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2018",2018,$124.67,72.582%;,54.0646%;,50.0773%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Canon-La-Gaffelière'], ['Grapes', '50% Merlot, 35% Cabernet Franc, 15% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]", Château Canon-La-Gaffelière,red,72.582,54.0646,50.0773,"[' 50% Merlot', ' 35% Cabernet Franc', ' 15% Cabernet Sauvignon', ' ']", 14%,"["" 'Contains sulfites']"", ' ']"
https://images.vivino.com/thumbs/octoi-X0S_KGIpkAyt5o9g_pb_x600.png,"Château Fonplégade
Saint-Émilion Grand Cru (Grand Cru Classé) 2019",2019,$59.33,74.5063%;,55.0255%;,52.4645%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Fonplégade'], ['Grapes', 'Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Its sophisticated signature minerality, as well as its sweet tannins and soft, velvety mouthfeel. Though our old-vine fruit forms the rich, compelling core of Château Fonplégade, a modest amount of grapes from somewhat younger vines is also incorporated in the blend, adding voluptuous black fruit notes and tannic structure.']]", Château Fonplégade,red,74.5063,55.0255,52.4645,"[' Cabernet Franc', ' Merlot', ' ']", 15%,"["" 'Contains sulfites"", ' egg allergens', "" milk allergens']"", ' ']"
https://images.vivino.com/thumbs/IorOzBwzRHio-xByEfP_QQ_pb_x600.png,"Château Pavie
Aromes de Pavie Saint-Émilion Grand Cru 2016",2016,$144.83,73.5218%;,59.5161%;,53.7676%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pavie'], ['Grapes', 'Cabernet Sauvignon, Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites']]", Château Pavie,red,73.5218,59.5161,53.7676,"[' Cabernet Sauvignon', ' Cabernet Franc', ' Merlot', ' ']", 13.5%,"["" 'Contains sulfites']]""]"
