name,year,price,bodyPercent,Tanning,Sugar,Acidic,wine_image,compareFoods,rating,about_wine,Winery,Type,Grape_Type,Alcohol
10,"E. Guigal
Côte-Rôtie La Landonne 2015",2015,$922,74.4159%;,70.7091%;,9.99265%;,64.9285%;,https://images.vivino.com/thumbs/u4ylBcQmSGCaaEBN_doYsQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.7,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Eye: Red black with deep dark tints. Nose: Small black fruits, liquorice and roasted notes and oriental spices. Powerful and intense aromas. Palate: Powerful attack with important tannic structure.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 14%
11,"Domaine Jean-Louis Chave
L'Hermitage 2020",2020,$499.99,80.8495%;,69.4019%;,8.80194%;,55.717%;,https://images.vivino.com/thumbs/aspf1zoiTceU5RI9OIY8ew_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', 'Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,red,"[' Shiraz/Syrah', ' ']", Contains sulfites
12,"E. Guigal
Côte-Rôtie La Landonne 2019",2019,$501.50,74.4159%;,70.7091%;,9.99265%;,64.9285%;,https://images.vivino.com/thumbs/u4ylBcQmSGCaaEBN_doYsQ_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Eye: Red black with deep dark tints. Nose: Small black fruits, liquorice and roasted notes and oriental spices. Powerful and intense aromas. Palate: Powerful attack with important tannic structure.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 14%
13,"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2015",2015,$530.95,85%;,40.5755%;,11.5164%;,44.3917%;,https://images.vivino.com/thumbs/GPaytcybQpqx2BSOIGYVxw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.6,"[['Winery', 'Clos Saint Jean'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '16%'], ['Allergens', 'Contains sulfites']]", Clos Saint Jean,red,"[' Grenache', ' ']", 16%
14,"E. Guigal
Côte-Rôtie La Mouline 2019",2019,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;,https://images.vivino.com/thumbs/HYVZMFigQ5qXxni7s9SpWw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', 'Shiraz/Syrah, Viognier'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Visual : Deep ruby red with bright red highlights.', 'Nose : Small red fruits, blackberry and floral aromas of violets, powerful ... but fine aromatic intensity.', ""Palate : Entry into very soft mouth and beautiful harmony between the wine's bouquet and explosive richness due to the concentration of this wine."", 'Ensemble : female wine with voluptuous texture silky velvety, intensely aromatic.']]", E. Guigal,red,"[' Shiraz/Syrah', ' Viognier', ' ']", 14.5%
15,"E. Guigal
Ermitage Ex-Voto 2010",2010,$395.95,82.7338%;,69.9444%;,13.4667%;,56.4577%;,https://images.vivino.com/thumbs/ZZ7B6x7-TNucy0v7EWaHqw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Eye : Deep dark ruby colour with mauve tints.', 'Nose : Black fruits, leather, liquorice, coffee flavour and oriental spices.', 'Palate : Powerful attack with richness and an important tannic structure. This wine expression fully the terroir trough its finesse and the strength of its tannins.', 'Overall : Great ageing potential, structured and concentrated with a rare intensity of flavour and colour.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 13.5%
16,"E. Guigal
Côte-Rôtie La Mouline 1986",1986,$419.99,66.6169%;,64.1945%;,10.2499%;,64.353%;,https://images.vivino.com/thumbs/HYVZMFigQ5qXxni7s9SpWw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', 'Shiraz/Syrah, Viognier'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Visual : Deep ruby red with bright red highlights.', 'Nose : Small red fruits, blackberry and floral aromas of violets, powerful ... but fine aromatic intensity.', ""Palate : Entry into very soft mouth and beautiful harmony between the wine's bouquet and explosive richness due to the concentration of this wine."", 'Ensemble : female wine with voluptuous texture silky velvety, intensely aromatic.']]", E. Guigal,red,"[' Shiraz/Syrah', ' Viognier', ' ']", 13%
17,"E. Guigal
Côte-Rôtie La Turque 1998",1998,$866.24,69.941%;,66.4626%;,10.2517%;,64.435%;,https://images.vivino.com/thumbs/ef3LDfDxSRit60wSsGYW6A_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', 'Shiraz/Syrah, Viognier'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'To the eye, its ruby red dress reveals pretty dark reflections . The nose of red berry, cherry and blackberry fruit is marked by a lingering aroma and an elegant intensity. The palate is soft with fine tannins and the same red fruit notes on the nose.']]", E. Guigal,red,"[' Shiraz/Syrah', ' Viognier', ' ']", 13%
18,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2020",2020,$597.44,83.3728%;,39.9899%;,11.8831%;,45.2795%;,https://images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.6,"[['Winery', 'Château de Beaucastel'], ['Grapes', 'Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Château de Beaucastel,red,"[' Mourvedre', ' ']", 14%
19,"E. Guigal
Côte-Rôtie La Turque 2017",2017,$438.59,69.941%;,66.4626%;,10.2517%;,64.435%;,https://images.vivino.com/thumbs/ef3LDfDxSRit60wSsGYW6A_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', '93% Shiraz/Syrah, 7% Viognier'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'To the eye, its ruby red dress reveals pretty dark reflections . The nose of red berry, cherry and blackberry fruit is marked by a lingering aroma and an elegant intensity. The palate is soft with fine tannins and the same red fruit notes on the nose.']]", E. Guigal,red,"[' 93% Shiraz/Syrah', ' 7% Viognier', ' ']", Contains sulfites
20,"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2020",2020,$439.99,85%;,40.9855%;,19.5418%;,44.77%;,https://images.vivino.com/thumbs/qhqnjHhPQai4lV2F6jTKvw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.6,"[['Winery', 'Pegau'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '15.5%'], ['Allergens', 'Contains sulfites']]", Pegau,red,"[' Grenache', ' ']", 15.5%
21,"E. Guigal
Côte-Rôtie La Turque 2016",2016,$627,69.941%;,66.4626%;,10.2517%;,64.435%;,https://images.vivino.com/thumbs/ef3LDfDxSRit60wSsGYW6A_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'To the eye, its ruby red dress reveals pretty dark reflections . The nose of red berry, cherry and blackberry fruit is marked by a lingering aroma and an elegant intensity. The palate is soft with fine tannins and the same red fruit notes on the nose.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 13%
22,"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2017",2017,$690,83.3728%;,39.9899%;,11.8831%;,45.2795%;,https://images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.6,"[['Winery', 'Château de Beaucastel'], ['Grapes', '60% Monastrell, 40% Garnacha'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]", Château de Beaucastel,red,"[' 60% Monastrell', ' 40% Garnacha', ' ']", 14.5%
23,"Domaine Jean-Louis Chave
L'Hermitage 2012",2012,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;,https://images.vivino.com/thumbs/aspf1zoiTceU5RI9OIY8ew_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'Domaine Jean-Louis Chave'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Hermitage'], ['Wine style', 'Northern Rhône Hermitage'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites']]", Domaine Jean-Louis Chave,red,"[' 100% Shiraz/Syrah', ' ']", 13%
24,"E. Guigal
Côte-Rôtie La Mouline 2012",2012,$543,66.6169%;,64.1945%;,10.2499%;,64.353%;,https://images.vivino.com/thumbs/HYVZMFigQ5qXxni7s9SpWw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'E. Guigal'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Visual : Deep ruby red with bright red highlights.', 'Nose : Small red fruits, blackberry and floral aromas of violets, powerful ... but fine aromatic intensity.', ""Palate : Entry into very soft mouth and beautiful harmony between the wine's bouquet and explosive richness due to the concentration of this wine."", 'Ensemble : female wine with voluptuous texture silky velvety, intensely aromatic.']]", E. Guigal,red,"[' 100% Shiraz/Syrah', ' ']", 13%
25,"Henri Bonneau
Chateauneuf-du-Pape Réserve des Célestins 2009",2009,$790,79.5764%;,42.9762%;,17.9771%;,45.7554%;,https://images.vivino.com/thumbs/i53kv2gfSNu0kgi8J3YqJg_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.6,"[['Winery', 'Henri Bonneau'], ['Grapes', 'Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Alcohol content', '12.5%'], ['Allergens', 'Contains sulfites']]", Henri Bonneau,red,"[' Grenache', ' ']", 12.5%
26,"Jean-Michel Gerin
La Landonne Côte-Rôtie 2016",2016,$416,68.4601%;,59.1367%;,13.7056%;,66.4986%;,https://images.vivino.com/thumbs/2LwH_HQJSwC7L0Lab7VvHw_pb_x600.png,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.6,"[['Winery', 'Jean-Michel Gerin'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Côte-Rôtie'], ['Wine style', 'Northern Rhône Côte-Rotie'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Finesse, balance and intensity summarize this wine. Supple tannins and aromatic complexity reminds us the beauty of this terroir.']]", Jean-Michel Gerin,red,"[' 100% Shiraz/Syrah', ' ']", 13.5%
