wine_image,name,compareFoods,rating,about_wine,Winery,Type,Grape_Type,Alcohol,year,price,bodyPercent,Tanning,Sugar,Acidic
https://images.vivino.com/thumbs/cSHAXbDHTvysN7LNLnssZg_pb_x600.png,"Château Brane-Cantenac
Margaux (Grand Cru Classé) 2016","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Brane-Cantenac'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]", Château Brane-Cantenac,red,"[' 100% Cabernet Sauvignon', ' ']", 13%,2016,$129.95,60.7749%;,62.7071%;,6.9153%;,70.6552%;
https://images.vivino.com/thumbs/-VCSqTjKRqSTHfQDPvG3PA_pb_x600.png,"Château Pichon Baron
Pauillac (Grand Cru Classé) 2020","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pichon Baron'], ['Grapes', '76% Cabernet Sauvignon, 24% Merlot'], ['France', 'Bordeaux', 'Médoc', 'Pauillac'], ['Wine style', 'Bordeaux Pauillac'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'A wine of great personality with fresh red-fruit and blackberry scents. It is quick to express itself on the palate, rolling out its assertive, powerful character and rich flesh. The finish is very long-lasting, with dense, precise tannins. A finely-balanced wine of substance with firm structure and body.']]", Château Pichon Baron,red,"[' 76% Cabernet Sauvignon', ' 24% Merlot', ' ']", 13%,2020,$198.65,71.9409%;,72.9014%;,9.8723%;,72.1823%;
https://images.vivino.com/thumbs/HFkmMqnATKm3WobR0v4-Og_pb_x600.png,"Château Paran Justice
Saint-Émilion Grand Cru 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Paran Justice'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Bright ruby color, the nose is delicate red fruits and spices in a subtly woody atmosphere. The palate is supple and fresh, accompanied by round tannins. Very good aging potential.']]", Château Paran Justice,red,"[' Merlot', ' Cabernet Sauvignon', ' Cabernet Franc', ' ']", 14%,2019,$30,69.097%;,56.2515%;,8.88689%;,52.2052%;
https://images.vivino.com/thumbs/O4e2DlxNTieRru7u1ymtVw_pb_x600.png,"Domaine de Chevalier
Pessac-Léognan (Grand Cru Classé de Graves) 2015","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Domaine de Chevalier'], ['Grapes', 'Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot'], ['France', 'Bordeaux', 'Graves', 'Pessac-Léognan'], ['Wine style', 'Bordeaux Pessac-Léognan'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Domaine de Chevalier,red,"[' Cabernet Sauvignon', ' Cabernet Franc', ' Merlot', ' Petit Verdot', ' ']", 13.5%,2015,$114.95,71.3108%;,74.1572%;,8.09016%;,74.0983%;
https://images.vivino.com/thumbs/9zhiQv6cR-SfUufc9_CK6w_pb_x600.png,"Château Talbot
Saint-Julien (Grand Cru Classé) 2015","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Talbot'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Château Talbot,red,"[' 100% Cabernet Sauvignon', ' ']", 13.5%,2015,$98.33,62.4032%;,61.988%;,7.34484%;,71.0589%;
https://images.vivino.com/thumbs/OKW47AisSp23ma0nx_4Kdg_pb_x600.png,"Château Rauzan-Ségla
Ségla Margaux 2015","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Rauzan-Ségla'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork'], ['Wine description', 'Violets, blackberry, cherry and cedar can be found in the nose and taste of the younger wines. As the wine ages, cassis and spicy overtones appear.']]", Château Rauzan-Ségla,red,"[' 100% Cabernet Sauvignon', ' ']", 14.5%,2015,$84.94,64.373%;,60.9386%;,6.55299%;,69.4768%;
https://images.vivino.com/thumbs/A5URPSHQSEm3R91WIgvI0Q_pb_x600.png,"Château Léoville Poyferré
Saint-Julien (Grand Cru Classé) 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Léoville Poyferré'], ['Grapes', '67% Cabernet Sauvignon, 27% Merlot, 3% Cabernet Franc, 3% Petit Verdot'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Château Léoville Poyferré,red,"[' 67% Cabernet Sauvignon', ' 27% Merlot', ' 3% Cabernet Franc', ' 3% Petit Verdot', ' ']", 13%,2019,$164.95,63.6262%;,65.3316%;,11.5048%;,72.8904%;
https://images.vivino.com/thumbs/CakMPDnYSnuZ6L0fn88EWQ_pb_x600.png,"Château Léoville Barton
Saint-Julien (Grand Cru Classé) 2006","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Léoville Barton'], ['Grapes', 'Merlot, Cabernet Sauvignon, Cabernet Franc'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'This wine has an opaque dark red violet colour. With lovely herbal, lavender and blackberry notes on the nose. Tart berry, blackberry, black fruit palate with depth and sweet tannins.']]", Château Léoville Barton,red,"[' Merlot', ' Cabernet Sauvignon', ' Cabernet Franc', ' ']", 13.5%,2006,$249.99,62.7463%;,65.2819%;,9.22987%;,72.8286%;
https://images.vivino.com/thumbs/Uvv7nR6ZQ5-yGecoA6XFWA_pb_x600.png,"Clos du Marquis
Saint-Julien 2015","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Clos du Marquis'], ['Grapes', '85% Cabernet Sauvignon, 9% Cabernet Franc, 6% Merlot'], ['France', 'Bordeaux', 'Médoc', 'Saint-Julien'], ['Wine style', 'Bordeaux Saint-Julien'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Bottle closure', 'Cork']]", Clos du Marquis,red,"[' 85% Cabernet Sauvignon', ' 9% Cabernet Franc', ' 6% Merlot', ' ']", 13%,2015,$108.33,63.1521%;,63.226%;,8.00563%;,71.2872%;
https://images.vivino.com/thumbs/Gb2ViEV1Sy6_7YsmFM9iSw_pb_x600.png,"Château Rauzan-Ségla
Margaux (Grand Cru Classé) 2016","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Rauzan-Ségla'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Margaux'], ['Wine style', 'Bordeaux Margaux'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Candied confectionary nose along with some Margaux perfume and flowers. Palate is nicely fresh. Sweet and modern, with rich berry flavours, balanced and nicely proportioned until the finish.']]", Château Rauzan-Ségla,red,"[' 100% Cabernet Sauvignon', ' ']", 13.5%,2016,$159.95,60.6472%;,64.3779%;,7.61596%;,71.9256%;
https://images.vivino.com/thumbs/0xTruCORQbG7Jt2_0rCicA_pb_x600.png,"Château Le Gay
Pomerol 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Le Gay'], ['Grapes', 'Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens']]", Château Le Gay,red,"[' Cabernet Franc', ' Merlot', ' ']", 14.5%,2018,$169.99,70.0451%;,53.8125%;,9.29886%;,52.1931%;
https://images.vivino.com/thumbs/Pof15E7-TdygYduO6SSZlA_pb_x600.png,"Château Canon-La-Gaffelière
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2018","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Canon-La-Gaffelière'], ['Grapes', '50% Merlot, 35% Cabernet Franc, 15% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]", Château Canon-La-Gaffelière,red,"[' 50% Merlot', ' 35% Cabernet Franc', ' 15% Cabernet Sauvignon', ' ']", 14%,2018,$124.67,72.5819%;,54.0645%;,12.9684%;,50.0772%;
https://images.vivino.com/thumbs/octoi-X0S_KGIpkAyt5o9g_pb_x600.png,"Château Fonplégade
Saint-Émilion Grand Cru (Grand Cru Classé) 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Fonplégade'], ['Grapes', 'Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', 'Its sophisticated signature minerality, as well as its sweet tannins and soft, velvety mouthfeel. Though our old-vine fruit forms the rich, compelling core of Château Fonplégade, a modest amount of grapes from somewhat younger vines is also incorporated in the blend, adding voluptuous black fruit notes and tannic structure.']]", Château Fonplégade,red,"[' Cabernet Franc', ' Merlot', ' ']", 15%,2019,$59.33,74.5063%;,55.0255%;,5.52759%;,52.4645%;
https://images.vivino.com/thumbs/IorOzBwzRHio-xByEfP_QQ_pb_x600.png,"Château Pavie
Aromes de Pavie Saint-Émilion Grand Cru 2016","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Pavie'], ['Grapes', 'Cabernet Sauvignon, Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Saint-Émilion', 'Saint-Émilion Grand Cru'], ['Wine style', 'Bordeaux Saint-Émilion'], ['Alcohol content', '13.5%'], ['Allergens', 'Contains sulfites']]", Château Pavie,red,"[' Cabernet Sauvignon', ' Cabernet Franc', ' Merlot', ' ']", 13.5%,2016,$144.83,73.5218%;,59.5161%;,8.14865%;,53.7676%;
https://images.vivino.com/thumbs/yeUikMFOR2KSBMQ7pKVI9A_pb_x600.png,"Château Graves de Pez
Saint-Estèphe 2013","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Graves de Pez'], ['Grapes', '100% Cabernet Sauvignon'], ['France', 'Bordeaux', 'Médoc', 'Saint-Estèphe'], ['Wine style', 'Bordeaux Saint-Estèphe'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It delivers aromas and flavors of ripe cherries, plum, tobacco, mineral and a herbal edge. Full-bodied with a velvety texture that shows nice structure and balance, ending with a long, chewy finish']]", Château Graves de Pez,red,"[' 100% Cabernet Sauvignon', ' ']", 13%,2013,$35.42,69.1002%;,76.2206%;,12.4486%;,74.3995%;
https://images.vivino.com/thumbs/JxnTJ8OCSGi7Bw9aFCKQUw_pb_x600.png,"Château Lécuyer
Pomerol 2019","['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.3,"[['Winery', 'Château Lécuyer'], ['Grapes', 'Cabernet Franc, Merlot'], ['France', 'Bordeaux', 'Libournais', 'Pomerol'], ['Wine style', 'Bordeaux Pomerol'], ['Alcohol content', '14%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Elegant, harmonious. Great aromatic complexity, tannins with power and velvety down a nice long finish.']]", Château Lécuyer,red,"[' Cabernet Franc', ' Merlot', ' ']", 14%,2019,$75.67,74.844%;,54.7435%;,2.47336%;,54.4811%;
